url_length,dots,hyphens,at,question,percent,equal,domain_length,https,ip_address,login_word,bank_word,verify_word,secure_word,label
20,2,0,0,0,0,0,12,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
40,2,2,0,0,0,0,22,1,0,0,0,0,0,1
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
175,2,1,0,1,0,3,15,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
51,3,0,0,0,0,0,15,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
38,4,0,0,0,0,0,21,1,0,0,0,0,0,1
20,1,1,0,0,0,0,12,1,0,0,0,0,0,0
71,2,0,0,0,0,0,15,1,0,0,0,0,0,1
60,3,1,0,0,0,0,43,1,0,0,0,0,0,1
316,4,0,0,1,0,2,26,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
21,1,0,0,0,0,0,6,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
32,2,1,0,0,0,0,17,1,0,0,0,0,0,1
34,2,0,0,0,0,0,17,1,0,0,0,0,0,1
58,2,2,0,0,0,0,21,0,0,0,0,0,0,1
77,3,2,0,0,0,2,23,1,0,0,0,0,0,1
24,1,0,0,0,0,0,16,1,0,0,0,0,0,0
131,2,1,0,1,0,3,15,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
239,2,0,0,1,2,2,25,1,0,0,0,0,0,1
83,3,0,0,0,0,0,74,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
46,2,2,0,0,0,0,37,1,0,0,0,0,0,1
24,1,0,0,0,0,0,16,1,0,0,0,0,0,0
28,1,1,0,0,0,0,19,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
100,3,1,0,0,0,0,43,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
22,1,0,0,0,0,0,6,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
42,2,1,0,0,0,0,27,1,0,0,0,0,0,1
23,1,0,0,0,0,0,4,1,0,0,0,0,0,1
64,3,1,0,0,0,0,43,1,0,0,0,0,0,1
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
26,1,0,0,0,0,0,18,1,0,0,0,0,0,0
59,2,1,0,0,0,0,21,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
21,1,1,0,0,0,0,13,1,0,0,0,0,0,0
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
30,1,0,0,0,0,0,22,1,0,0,0,0,0,0
52,1,0,0,1,0,1,16,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
83,1,0,0,0,0,0,7,1,0,0,0,0,0,1
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
42,3,0,0,0,0,0,25,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
42,2,0,0,0,0,0,34,1,0,0,0,0,0,1
37,2,1,0,0,0,0,28,1,0,0,0,0,0,1
44,2,2,0,0,0,0,35,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
25,1,1,0,0,0,0,17,1,0,0,0,0,0,0
62,4,0,0,1,0,1,7,1,0,0,0,0,0,1
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
77,2,6,0,0,0,0,32,1,0,0,0,0,0,1
173,2,1,0,1,0,3,15,1,0,0,0,0,0,1
82,2,1,0,0,0,0,21,1,0,0,0,0,0,1
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
31,2,0,0,0,0,0,11,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
39,2,0,0,0,0,0,30,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
28,2,0,0,0,0,0,19,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
26,2,1,0,0,0,0,17,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
83,3,0,0,0,0,0,74,1,0,0,0,0,0,1
40,2,0,0,0,0,0,16,1,0,0,0,0,0,1
30,1,1,0,0,0,0,22,1,0,0,0,0,0,0
59,2,2,0,0,0,0,21,1,0,0,0,0,0,1
24,2,1,0,0,0,0,16,1,0,0,0,0,0,1
54,2,5,0,0,0,0,45,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
26,2,0,0,0,0,0,17,1,0,0,0,0,0,1
24,1,0,0,0,0,0,5,0,0,0,0,0,0,1
131,2,1,0,1,0,3,15,1,0,0,0,0,0,1
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
93,4,0,1,1,0,1,21,1,0,0,0,0,0,1
21,1,1,0,0,0,0,13,1,0,0,0,0,0,0
106,3,1,0,0,0,0,21,1,0,0,0,0,0,1
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
26,1,0,0,0,0,0,11,1,0,0,0,0,0,1
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
324,2,1,0,1,0,1,19,1,0,0,0,0,0,1
20,1,0,0,0,0,0,5,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
63,3,1,0,0,0,0,43,1,0,0,0,0,0,1
26,1,0,0,0,0,0,18,1,0,0,0,0,0,0
19,2,0,0,0,0,0,11,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
35,2,0,0,0,0,0,27,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
30,1,0,0,0,0,0,21,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
18,1,1,0,0,0,0,10,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
78,4,1,1,1,0,1,14,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
13,1,0,0,0,0,0,5,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
83,3,0,0,0,0,0,74,1,0,0,0,0,0,1
26,1,0,0,0,0,0,18,1,0,0,0,0,0,0
27,1,0,0,0,0,0,19,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
80,3,6,0,0,0,0,71,1,0,0,0,0,0,1
40,1,0,0,0,0,1,11,1,0,0,0,0,0,1
37,2,1,0,0,0,0,29,1,0,0,0,0,0,1
67,3,0,0,0,0,0,23,1,0,0,0,0,0,1
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
20,1,0,0,0,0,0,6,1,0,0,0,0,0,1
51,3,0,0,0,0,0,21,1,0,0,0,0,0,1
30,2,0,0,0,0,0,21,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
22,1,0,0,0,0,0,6,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
103,3,1,0,0,0,0,43,1,0,0,0,0,0,1
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
22,1,0,0,0,0,0,6,1,0,0,0,0,0,1
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
335,7,2,0,0,15,0,43,1,0,0,0,0,0,1
84,2,0,0,0,0,0,15,1,0,0,0,0,0,1
67,2,5,0,0,0,0,17,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
17,2,0,0,0,0,0,9,1,0,0,0,0,0,0
13,1,0,0,0,0,0,5,1,0,0,0,0,0,0
42,2,0,0,0,0,0,14,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
26,1,0,0,0,0,0,7,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
21,1,1,0,0,0,0,13,1,0,0,0,0,0,0
190,3,2,0,1,0,4,15,1,0,0,0,0,0,1
22,1,1,0,0,0,0,14,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
51,3,0,0,0,0,0,21,1,0,0,0,0,0,1
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
29,1,0,0,0,0,0,13,1,0,0,0,0,0,1
51,3,0,0,0,0,0,21,1,0,0,0,0,0,1
82,2,4,0,0,2,0,16,1,0,0,0,0,0,1
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
64,2,4,0,0,0,0,14,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
54,2,0,0,0,0,0,17,1,0,0,0,0,0,1
22,1,1,0,0,0,0,14,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
131,2,1,0,1,0,3,15,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
42,2,0,0,0,0,0,14,1,0,0,0,0,0,1
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
43,1,0,0,0,0,0,12,1,0,0,0,0,0,1
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
34,2,0,0,0,0,0,25,1,0,0,0,0,0,1
27,1,1,0,0,0,0,19,1,0,0,0,0,0,0
23,1,1,0,0,0,0,15,1,0,0,0,0,0,0
19,2,0,0,0,0,0,11,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
42,1,0,0,0,0,0,11,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
175,2,3,0,1,0,3,15,1,0,0,0,0,0,1
47,2,1,0,0,0,0,12,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
175,2,2,0,1,0,3,15,1,0,0,0,0,0,1
49,2,0,0,0,0,0,40,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
31,2,0,0,0,0,0,22,1,0,0,0,0,0,1
167,2,2,0,1,0,3,15,1,0,0,0,0,0,1
13,1,0,0,0,0,0,5,1,0,0,0,0,0,0
21,1,0,0,0,0,0,13,1,0,0,0,0,0,0
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
26,1,0,0,0,0,0,18,1,0,0,0,0,0,0
24,1,1,0,0,0,0,16,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
21,2,0,0,0,0,0,13,1,0,0,0,0,0,0
54,3,1,0,1,0,1,22,0,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
31,2,0,0,0,0,0,22,1,0,0,0,0,0,1
24,1,0,0,0,0,0,16,1,0,0,0,0,0,0
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
82,2,4,0,1,0,0,28,1,0,0,0,0,0,1
20,1,0,0,0,0,0,6,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
47,2,0,0,0,0,0,38,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
16,1,0,0,0,0,0,8,1,0,0,0,0,0,0
17,2,0,0,0,0,0,9,1,0,0,0,0,0,0
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
181,3,2,0,1,1,4,15,1,0,0,0,0,0,1
26,1,0,0,0,0,0,18,1,0,0,0,0,0,0
22,1,0,0,0,0,0,6,1,0,0,0,0,0,1
28,2,0,0,0,0,0,19,1,0,0,0,0,0,1
32,2,1,0,0,0,0,23,1,0,0,0,0,0,1
16,1,1,0,0,0,0,8,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
36,2,0,0,0,0,0,27,1,0,0,0,0,0,1
31,2,0,0,0,0,0,22,1,0,0,0,0,0,1
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
30,1,0,0,0,0,0,22,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
59,2,1,0,0,0,0,21,1,0,0,0,0,0,1
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
167,2,2,0,1,0,3,15,1,0,0,0,0,0,1
48,2,0,0,0,0,0,31,1,0,0,0,0,0,1
32,1,2,0,0,0,0,18,1,0,0,0,0,0,1
17,1,0,0,0,0,0,9,1,0,0,0,0,0,0
27,1,0,0,0,0,0,19,1,0,0,0,0,0,0
35,2,0,0,0,0,0,26,1,0,0,0,0,0,1
31,2,0,0,0,0,0,22,1,0,0,0,0,0,1
24,1,1,0,0,0,0,16,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
62,3,1,0,0,0,0,43,1,0,0,0,0,0,1
31,2,0,0,0,0,0,22,1,0,0,0,0,0,1
38,2,1,0,0,0,0,29,1,0,0,1,0,0,1
27,2,0,0,0,0,0,18,1,0,0,0,0,0,1
24,2,0,0,0,0,0,16,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
38,1,0,0,1,0,0,18,1,0,0,0,0,0,1
175,2,1,0,1,0,3,15,1,0,0,0,0,0,1
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
47,2,0,0,0,0,0,16,1,0,0,0,0,0,1
26,1,0,0,0,0,0,7,1,0,0,0,0,0,1
23,1,0,0,0,0,0,15,1,0,0,0,0,0,0
22,1,0,0,0,0,0,7,1,0,0,0,0,0,1
94,2,1,0,0,0,0,21,1,0,0,0,0,0,1
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
18,1,0,0,0,0,0,10,1,0,0,0,0,0,0
15,1,0,0,0,0,0,7,1,0,0,0,0,0,0
175,2,6,0,1,0,3,15,1,0,0,0,0,0,1
21,1,1,0,0,0,0,6,1,0,0,0,0,0,1
20,1,0,0,0,0,0,12,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
23,2,0,0,0,0,0,8,1,0,0,0,0,0,1
236,2,0,0,1,1,2,24,1,0,0,0,0,0,1
28,2,0,0,0,0,0,20,1,0,0,0,0,0,0
25,1,0,0,0,0,0,17,1,0,0,0,0,0,0
19,1,0,0,0,0,0,11,1,0,0,0,0,0,0
22,1,0,0,0,0,0,14,1,0,0,0,0,0,0
27,2,0,0,0,0,0,18,1,0,0,0,0,0,1
14,1,0,0,0,0,0,6,1,0,0,0,0,0,0
24,1,0,0,0,0,0,16,1,0,0,0,0,0,0
40,2,0,0,0,0,0,32,1,0,0,0,0,0,1
